currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v190227
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,77.769350
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.8
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,celso.local
gameDate,190416
gameTime,112018
gameRandom,021
playerAlias,mane
limitPlays,12
totalCorrect,8
successRate,0.8
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,True
finalScoreboard,long
animationType,short
showHistory,True
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,120120120120
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,1,n,2,false,5.075615,0.000000,5.079147
2,2,n,0,false,1.112236,0.000000,10.565930
3,0,n,1,false,1.027931,0.000000,15.629480
4,1,n,1,TRUE,0.731731,0.000000,20.917310
5,2,n,2,TRUE,7.555660,0.000000,32.580760
6,0,n,0,TRUE,1.003731,0.000000,38.188300
7,1,n,0,false,1.131805,0.000000,43.476160
8,2,n,2,TRUE,3.591797,0.000000,51.099950
9,0,n,0,TRUE,2.060059,0.000000,57.763680
10,1,n,1,TRUE,0.915825,0.000000,62.835190
11,2,n,2,TRUE,1.247864,0.000000,68.187060
12,0,n,0,TRUE,1.019730,0.000000,73.810640
